key,en,ru
CONNECT_LAYOUT_CONNECT_TEXT,Connect,Подключиться
CONNECT_LAYOUT_SETTINGS_TEXT,Settings,Настройки
CONNECT_LAYOUT_USERNAME_TEXT,Username,Имя пользователя
CONNECT_LAYOUT_SERVER_TEXT,Server,Сервер
CONNECT_LAYOUT_PORT_TEXT,Port,Порт
CONNECT_LAYOUT_PASSWORD_TEXT,Password,Пароль
SETTINGS_LAYOUT_GENERAL_SECTION_TEXT,General,Общее
SETTINGS_LAYOUT_RESTART_NOTE_TEXT,A restart is required to apply the changed parameters.,Для применения изменений требуется перезапуск программы.
SETTINGS_LAYOUT_SETTING_MASTER_VOLUME_TEXT,Master Output Volume,Общая громкость
SETTINGS_LAYOUT_SETTING_PUSH_TO_TALK_BUTTON_TEXT,Push-to-Talk Button,Кнопка активации микрофона
SETTINGS_LAYOUT_SETTING_PUSH_TO_TALK_BUTTON_CHANGE_TEXT,Press any key…,Нажмите клавишу…
SETTINGS_LAYOUT_SETTING_MESSAGE_NOTIFICATIONS_TEXT,Message notifications,Уведомления о сообщениях
SETTINGS_LAYOUT_SETTING_MESSAGE_NOTIFICATIONS_BUTTON_ON_TEXT,show,показывать
SETTINGS_LAYOUT_SETTING_MESSAGE_NOTIFICATIONS_BUTTON_OFF_TEXT,don’t show,не показывать
SETTINGS_LAYOUT_ABOUT_SECTION_TEXT,About,О программе
SETTINGS_LAYOUT_ABOUT_SECTION_APP_DESC_TEXT,Silent is a cross-platform open-source voice chat.,Silent – это кроссплатформенный голосовой чат с открытым исходным кодом.
SETTINGS_LAYOUT_ABOUT_SECTION_APP_VERSION_TEXT,Version,Версия
SETTINGS_LAYOUT_ABOUT_SECTION_APP_SOURCE_CODE_TEXT,The source code is available,Исходный код доступен
SETTINGS_LAYOUT_ABOUT_SECTION_APP_SOURCE_CODE_BUTTON_TEXT,here,здесь
SETTINGS_LAYOUT_ABOUT_SECTION_DRUID_TEXT,The UI is powered by the Druid (data-oriented Rust UI design toolkit).,Пользовательский интерфейс создан с помощью Druid (data-oriented Rust UI design toolkit).
SETTINGS_LAYOUT_BACK_BUTTON_TEXT,Back,Вернуться
